Verkäufe,Fettgehalt,Visibilität,Typ,Max_Preis,Ladengrösse
3735,niedrig,0.016047301,Milchprodukt,249.8092,Supermarkt_Gr.1
443,normal,0.019278216,Getränke,48.2692,Supermarkt_Gr.2
2097,niedrig,0.016760075,Fleisch,141.618,Supermarkt_Gr.1
732,normal,0,Früchte&Gemüse,182.095,Lebensmittelladen
995,niedrig,0,Haushaltsartikel,53.8614,Supermarkt_Gr.1
557,normal,0,Backwaren,51.4008,Supermarkt_Gr.2
344,normal,0.012741089,Snacks,57.6588,Supermarkt_Gr.1
4023,niedrig,0.127469857,Snacks,107.76220000000001,Supermarkt_Gr.3
1077,normal,0.016687114,Gefrorenes,96.9726,Supermarkt_Gr.1
4711,normal,0.09444959,Gefrorenes,187.8214,Supermarkt_Gr.1
1516,niedrig,0,Früchte&Gemüse,45.5402,Supermarkt_Gr.1
2187,normal,0.045463773,Milchprodukt,144.1102,Supermarkt_Gr.1
1589,normal,0.1000135,Früchte&Gemüse,145.4786,Supermarkt_Gr.1
2145,normal,0.047257328,Snacks,119.6782,Supermarkt_Gr.1
1977,niedrig,0.0680243,Früchte&Gemüse,196.4426,Supermarkt_Gr.1
1547,normal,0.069088961,Frühstücksartikel,56.3614,Supermarkt_Gr.1
1622,niedrig,0.008596051,Gesundheitsartikel,115.3492,Supermarkt_Gr.2
718,normal,0.069196376,Frühstücksartikel,54.3614,Supermarkt_Gr.1
2304,niedrig,0.034237682,Alkohol,113.2834,Supermarkt_Gr.3
2748,niedrig,0.10249212,Milchprodukt,230.5352,Supermarkt_Gr.1
3775,normal,0.138190277,Snacks,250.8724,Supermarkt_Gr.1
4064,normal,0.035399923,Backwaren,144.5444,Supermarkt_Gr.3
1587,niedrig,0.025698134,Haushaltsartikel,196.5084,Supermarkt_Gr.1
214,niedrig,0.057556998,Backwaren,107.6938,Lebensmittelladen
4078,normal,0.025896485,Gefrorenes,165.021,Supermarkt_Gr.1
839,niedrig,0.099887103,Haushaltsartikel,45.906,Supermarkt_Gr.1
1065,normal,0.066693437,Snacks,42.3112,Supermarkt_Gr.1
309,niedrig,0.019356132,Alkohol,39.1164,Supermarkt_Gr.1
178,normal,0.161466534,Milchprodukt,45.5086,Lebensmittelladen
126,normal,0.072221801,Dosenware,43.6454,Lebensmittelladen
164,niedrig,0.170348551,Milchprodukt,55.7956,Lebensmittelladen
2742,niedrig,0.080829372,Gesundheitsartikel,96.4436,Supermarkt_Gr.2
3068,niedrig,0,Snacks,256.6672,Supermarkt_Gr.2
2175,niedrig,0,Brote,93.1436,Supermarkt_Gr.1
2085,niedrig,0.097904029,Getränke,174.8738,Supermarkt_Gr.1
